VMIP	CPUIDLE	CPUUSERLEVEL	CPUSYSTEMLEVEL	BOOTTIME	NUMCPU	INPACKETS	OUTPACKETS	SYSTEMCLOCK	OUTBYTES	INBYTES	FREEDISK	CPUSPEED	TOTALMEMORY	FREEMEMORY	TOTALDISKSIZE	MAXUSEDPARTITION	MAXTRANSFERUNIT	OSNAME	OSRELEASE	MACHINETYPE	CPUWIO	CPUNICE	SHAREDMEMORY	CACHEDMEMORY	MEMORYBUFFER	TOTALSWAPSPACE	FREESWAPSPACE	TOTALNUMPROCESSES	TOTALRUNPROCESSES	ONEMINUTELOAD	FIVEMINUTESLOAD	FIFTEENMINUTESLOAD
1432397127	43.5	33.5	22.9	1427368452	2	29.3	20.87	1427973386	3902.12	3021.39	55.932	3391.0	3612028.0	504484.0	74.919	25.3	0	Linux	3.13.0-48-generic	x86	0.2	0.0	0.0	1549716.0	380312.0	3657724.0	3657512.0	625	2	0.91	0.54	0.59	
1432397155	99.9	0.0	0.1	1427367964	2	15.3	8.2	1427973374	1085.55	1604.1	51.35	2394.0	2049920.0	126404.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185888.0	114244.0	2095100.0	2095100.0	223	0	0.0	0.13	0.19	
1432397190	1.3	90.0	8.6	1427368584	2	2.9	0.95	1427973377	82.31	208.95	37.75	2394.0	4047916.0	1258876.0	59.051	36.1	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1222316.0	296036.0	4192252.0	4072936.0	354	0	2.67	3.31	8.99	
1432397127	18.7	51.3	23.9	1427368452	2	2911.24	48788.0	1427973426	7.338028E7	238580.94	55.932	3391.0	3612028.0	209900.0	74.919	25.3	0	Linux	3.13.0-48-generic	x86	6.1	0.0	0.0	1463988.0	375476.0	3657724.0	3657456.0	625	2	19.98	4.86	2.0	
1432397155	99.8	0.1	0.1	1427367964	2	8.15	4.37	1427973414	658.0	805.2	51.35	2394.0	2049920.0	126404.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.1	0.0	0.0	1185888.0	114244.0	2095100.0	2095100.0	223	0	0.0	0.13	0.19	
1432397190	0.0	91.9	8.1	1427368584	2	6.0	5.0	1427973417	1688.18	539.36	37.75	2394.0	4047916.0	1066444.0	59.051	36.1	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1246192.0	296096.0	4192252.0	4072936.0	393	21	8.64	4.74	9.23	
1432397127	13.4	58.7	22.5	1427368452	2	5365.63	49416.12	1427973466	7.3265952E7	462513.28	55.932	3391.0	3612028.0	208832.0	74.919	25.3	0	Linux	3.13.0-48-generic	x86	5.4	0.0	0.0	1465284.0	375476.0	3657724.0	3657456.0	879	101	38.62	11.04	4.17	
1432397155	0.4	90.7	8.9	1427367964	2	8.15	4.37	1427973454	658.0	805.2	51.35	2394.0	2049920.0	115260.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185912.0	114324.0	2095100.0	2095100.0	223	0	17.36	4.34	1.59	
1432397190	0.0	90.8	9.2	1427368584	2	6.0	5.0	1427973457	1688.18	539.36	37.75	2394.0	4047916.0	1025716.0	59.051	36.1	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1271532.0	296148.0	4192252.0	4072936.0	393	21	10.14	5.33	9.32	
1432397127	19.1	55.9	20.5	1427368452	2	5357.22	48925.05	1427973506	7.257584E7	457980.66	55.924	3391.0	3612028.0	198720.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	4.4	0.0	0.0	1466348.0	375484.0	3657724.0	3657456.0	879	101	47.28	18.23	6.99	
1432397155	0.6	88.9	10.5	1427367964	2	8.15	4.37	1427973494	658.0	805.2	51.35	2394.0	2049920.0	113056.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185916.0	114348.0	2095100.0	2095100.0	294	54	33.05	10.07	3.63	
1432397190	0.0	90.8	9.2	1427368584	2	6.0	5.0	1427973500	1688.18	539.36	37.675	2394.0	4047916.0	957536.0	59.051	36.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1295876.0	296208.0	4192252.0	4072936.0	393	13	10.14	5.33	9.32	
1432397127	15.9	57.1	22.2	1427368452	2	5209.02	47871.68	1427973546	7.0996392E7	446563.34	55.924	3391.0	3612028.0	200660.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	4.9	0.0	0.0	1471468.0	375488.0	3657724.0	3657456.0	869	22	61.58	25.16	9.73	
1432397155	0.6	88.9	10.5	1427367964	2	8.15	4.37	1427973534	658.0	805.2	51.35	2394.0	2049920.0	113056.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185916.0	114348.0	2095100.0	2095100.0	294	54	45.06	15.86	5.84	
1432397190	0.0	91.2	8.8	1427368584	2	6.0	5.0	1427973537	1688.18	539.36	37.675	2394.0	4047916.0	781572.0	59.051	36.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1320468.0	296268.0	4192252.0	4072936.0	393	13	13.56	7.67	9.74	
1432397127	23.1	53.9	19.5	1427368452	2	5061.65	49588.01	1427973586	7.3612288E7	435478.59	55.924	3391.0	3612028.0	227408.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	3.4	0.0	0.0	1437820.0	371712.0	3657724.0	3657456.0	869	22	62.76	29.89	12.02	
1432397155	0.9	88.7	10.4	1427367964	2	8.15	4.37	1427973584	658.0	805.2	51.35	2394.0	2049920.0	113056.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185916.0	114348.0	2095100.0	2095100.0	293	71	43.61	19.2	7.39	
1432397190	0.0	91.2	8.8	1427368584	2	6.0	5.0	1427973577	1688.18	539.36	37.675	2394.0	4047916.0	632888.0	59.051	36.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1345144.0	296324.0	4192252.0	4072936.0	393	19	13.56	7.67	9.74	
1432397127	20.9	54.1	21.3	1427368452	2	5150.72	47226.63	1427973626	7.005264E7	440030.13	55.924	3391.0	3612028.0	218476.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	3.7	0.0	0.0	1442828.0	371720.0	3657724.0	3657456.0	892	99	72.92	36.21	14.81	
1432397155	0.9	88.7	10.4	1427367964	2	8.15	4.37	1427973614	658.0	805.2	51.35	2394.0	2049920.0	110492.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114404.0	2095100.0	2095100.0	293	71	49.45	23.9	9.48	
1432397190	0.0	91.1	8.9	1427368584	2	6.0	5.0	1427973617	1688.18	539.36	37.675	2394.0	4047916.0	605956.0	59.051	36.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1370328.0	296388.0	4192252.0	4072936.0	393	19	15.42	9.53	10.22	
1432397127	22.9	55.4	19.1	1427368452	2	4908.75	48364.3	1427973667	7.1764864E7	423069.16	55.895	3391.0	3612028.0	216704.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	2.6	0.0	0.0	1447816.0	371732.0	3657724.0	3657456.0	892	99	65.63	38.6	16.58	
1432397155	0.8	89.4	9.8	1427367964	2	8.15	4.37	1427973654	658.0	805.2	51.35	2394.0	2049920.0	110492.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114404.0	2095100.0	2095100.0	293	24	52.23	27.92	11.44	
1432397190	0.0	91.1	8.9	1427368584	2	6.0	5.0	1427973663	1688.18	539.36	37.675	2394.0	4047916.0	577656.0	59.051	36.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1395424.0	296452.0	4192252.0	4072936.0	393	15	15.1	10.24	10.43	
1432397127	22.9	55.1	18.8	1427368452	2	4890.24	45489.3	1427973706	6.7437824E7	419346.5	55.895	3391.0	3612028.0	212344.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	3.2	0.0	0.0	1452632.0	371740.0	3657724.0	3657456.0	878	1	57.25	39.83	17.82	
1432397155	0.8	89.4	9.8	1427367964	2	1.92	0.97	1427973694	89.34	161.27	51.35	2394.0	2049920.0	106880.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114448.0	2095100.0	2095100.0	293	24	55.39	31.74	13.42	
1432397190	0.0	91.3	8.5	1427368584	2	6.0	5.0	1427973697	1688.18	539.36	37.548	2394.0	4047916.0	549196.0	59.051	36.4	0	Linux	3.13.0-48-generic	x86_64	0.1	0.0	0.0	1420612.0	296500.0	4192252.0	4072936.0	393	15	15.1	10.24	10.43	
1432397127	19.1	57.8	21.0	1427368452	2	5602.23	50209.73	1427973746	7.4415552E7	479800.22	55.895	3391.0	3612028.0	194052.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	2.1	0.0	0.0	1458232.0	371748.0	3657724.0	3657456.0	878	1	64.95	44.58	20.49	
1432397155	1.0	89.5	9.5	1427367964	2	1.92	0.97	1427973744	89.34	161.27	51.35	2394.0	2049920.0	106880.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114448.0	2095100.0	2095100.0	293	71	56.16	34.99	15.29	
1432397190	0.0	91.3	8.5	1427368584	2	1.87	1.0	1427973737	87.7	165.12	37.548	2394.0	4047916.0	519668.0	59.051	36.4	0	Linux	3.13.0-48-generic	x86_64	0.1	0.0	0.0	1446812.0	296572.0	4192252.0	4072936.0	394	16	13.69	10.82	10.62	
1432397127	19.8	56.6	22.1	1427368452	2	5417.25	51275.13	1427973786	7.60568E7	465566.72	55.895	3391.0	3612028.0	189156.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	1.5	0.0	0.0	1463700.0	371756.0	3657724.0	3657456.0	877	20	66.75	47.45	22.35	
1432397155	0.9	88.3	10.7	1427367964	2	1.92	0.97	1427973776	89.34	161.27	51.35	2394.0	2049920.0	106880.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114448.0	2095100.0	2095100.0	293	71	57.03	38.14	17.19	
1432397190	0.0	91.2	8.8	1427368584	2	1.87	1.0	1427973787	87.7	165.12	37.548	2394.0	4047916.0	491788.0	59.051	36.4	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1472468.0	296628.0	4192252.0	4072936.0	394	16	13.69	10.82	10.62	
1432397127	18.4	58.6	20.2	1427368452	2	5752.52	49525.01	1427973826	7.3404512E7	488082.31	55.895	3391.0	3612028.0	280284.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	2.8	0.0	0.0	1389308.0	360992.0	3657724.0	3657416.0	877	20	64.86	48.6	23.4	
1432397155	0.9	88.3	10.7	1427367964	2	1.92	0.97	1427973814	89.34	161.27	51.35	2394.0	2049920.0	104848.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114496.0	2095100.0	2095100.0	293	70	57.13	40.52	18.88	
1432397190	0.0	90.1	9.9	1427368584	2	1.87	1.0	1427973817	87.7	165.12	37.548	2394.0	4047916.0	464124.0	59.051	36.4	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1496432.0	296696.0	4192252.0	4072936.0	394	10	15.36	12.04	11.07	
1432397127	19.3	57.2	22.0	1427368452	2	5585.52	49829.61	1427973866	7.38454E7	477488.0	55.868	3391.0	3612028.0	265932.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	1.5	0.0	0.0	1395084.0	360992.0	3657724.0	3657416.0	890	63	69.94	51.61	25.45	
1432397155	0.9	89.0	10.2	1427367964	2	1.92	0.97	1427973854	89.34	161.27	51.35	2394.0	2049920.0	104848.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114496.0	2095100.0	2095100.0	293	70	58.09	42.7	20.51	
1432397190	0.0	90.1	9.9	1427368584	2	1.87	1.0	1427973860	87.7	165.12	37.447	2394.0	4047916.0	437208.0	59.051	36.6	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1520124.0	296760.0	4192252.0	4072936.0	394	10	15.36	12.04	11.07	
1432397127	19.3	57.2	22.0	1427368452	2	5586.08	48725.27	1427973906	7.2210024E7	474956.75	55.868	3391.0	3612028.0	259880.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	1.5	0.0	0.0	1400268.0	360996.0	3657724.0	3657416.0	890	63	62.88	53.2	27.65	
1432397155	0.9	90.1	9.0	1427367964	2	1.92	0.97	1427973894	89.34	161.27	51.35	2394.0	2049920.0	102740.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114524.0	2095100.0	2095100.0	293	71	56.25	44.36	22.02	
1432397190	0.0	89.6	10.4	1427368584	2	1.87	1.0	1427973907	87.7	165.12	37.447	2394.0	4047916.0	409580.0	59.051	36.6	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1543604.0	296824.0	4192252.0	4072936.0	394	15	14.47	12.94	11.51	
1432397127	20.9	56.5	20.1	1427368452	2	5224.08	48390.79	1427973946	7.1715768E7	448735.16	55.868	3391.0	3612028.0	245544.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	2.5	0.0	0.0	1405556.0	361004.0	3657724.0	3657416.0	871	0	62.88	53.2	27.65	
1432397155	1.4	88.3	10.3	1427367964	2	1.92	0.97	1427973934	89.34	161.27	51.35	2394.0	2049920.0	102740.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114524.0	2095100.0	2095100.0	293	71	58.46	45.62	22.91	
1432397190	0.0	89.6	10.4	1427368584	2	1.87	1.0	1427973937	87.7	165.12	37.447	2394.0	4047916.0	381380.0	59.051	36.6	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1567532.0	296884.0	4192252.0	4072936.0	394	15	14.47	12.94	11.51	
1432397127	21.2	57.0	18.7	1427368452	2	5020.28	45185.83	1427973986	6.6916928E7	431380.47	55.868	3391.0	3612028.0	248332.0	74.919	25.4	0	Linux	3.13.0-48-generic	x86	3.1	0.0	0.0	1410664.0	361016.0	3657724.0	3657416.0	871	0	55.0	53.62	29.94	
1432397155	1.4	88.3	10.3	1427367964	2	1.92	0.97	1427973974	89.34	161.27	51.35	2394.0	2049920.0	102740.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114524.0	2095100.0	2095100.0	293	71	60.05	48.31	25.25	
1432397190	0.0	89.6	10.4	1427368584	2	1.87	1.0	1427973977	87.7	165.12	37.447	2394.0	4047916.0	354852.0	59.051	36.6	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1591080.0	296948.0	4192252.0	4072936.0	393	13	16.54	13.87	11.95	
1432397127	24.1	53.3	20.7	1427368452	2	4819.1	46637.27	1427974026	6.9151704E7	414415.47	55.846	3391.0	3612028.0	238232.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	1.9	0.0	0.0	1415576.0	361020.0	3657724.0	3657416.0	888	116	55.41	53.51	30.76	
1432397155	0.9	88.7	10.5	1427367964	2	2.15	0.45	1427974014	36.82	158.75	51.35	2394.0	2049920.0	100212.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114564.0	2095100.0	2095100.0	293	71	62.52	50.36	26.91	
1432397190	0.0	89.6	10.4	1427368584	2	2.2	0.47	1427974017	38.83	151.38	37.447	2394.0	4047916.0	329112.0	59.051	36.6	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1613892.0	297012.0	4192252.0	4072936.0	393	13	16.54	13.87	11.95	
1432397127	25.1	55.1	18.7	1427368452	2	4969.53	46236.58	1427974066	6.8512024E7	426981.31	55.846	3391.0	3612028.0	236408.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	1.0	0.0	0.0	1420676.0	361020.0	3657724.0	3657416.0	888	116	52.05	54.0	32.06	
1432397155	0.9	91.4	7.7	1427367964	2	2.15	0.45	1427974054	36.82	158.75	51.35	2394.0	2049920.0	100212.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114564.0	2095100.0	2095100.0	293	70	60.32	51.16	28.16	
1432397190	0.0	89.6	10.4	1427368584	2	2.2	0.47	1427974067	38.83	151.38	37.327	2394.0	4047916.0	302828.0	59.051	36.8	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1637852.0	297072.0	4192252.0	4072936.0	394	20	15.69	14.28	12.25	
1432397127	17.9	60.1	19.3	1427368452	2	4897.25	47837.54	1427974106	7.095032E7	420851.66	55.846	3391.0	3612028.0	232912.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	2.7	0.0	0.0	1425672.0	361020.0	3657724.0	3657416.0	874	2	49.63	53.51	32.73	
1432397155	0.9	88.4	10.7	1427367964	2	2.15	0.45	1427974094	36.82	158.75	51.35	2394.0	2049920.0	100212.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114564.0	2095100.0	2095100.0	293	70	63.35	53.07	29.77	
1432397190	0.0	91.2	8.8	1427368584	2	2.2	0.47	1427974097	38.83	151.38	37.327	2394.0	4047916.0	274036.0	59.051	36.8	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1662616.0	297128.0	4192252.0	4072936.0	394	20	13.31	13.84	12.19	
1432397127	20.5	55.8	21.3	1427368452	2	5001.72	45718.98	1427974146	6.7750256E7	426311.88	55.846	3391.0	3612028.0	208912.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	2.3	0.0	0.0	1426316.0	361028.0	3657724.0	3657416.0	874	2	76.56	59.91	35.87	
1432397155	0.9	88.4	10.7	1427367964	2	2.15	0.45	1427974134	36.82	158.75	51.35	2394.0	2049920.0	100212.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114564.0	2095100.0	2095100.0	293	18	65.01	54.73	31.31	
1432397190	0.0	91.2	8.8	1427368584	2	2.2	0.47	1427974137	38.83	151.38	37.327	2394.0	4047916.0	247356.0	59.051	36.8	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1687236.0	297180.0	4192252.0	4072936.0	394	20	14.24	13.97	12.3	
1432397127	19.4	60.0	18.5	1427368452	2	4743.73	45534.94	1427974186	6.7476936E7	408094.59	55.846	3391.0	3612028.0	212216.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	2.1	0.0	0.0	1431116.0	361032.0	3657724.0	3657416.0	892	108	77.13	61.9	37.42	
1432397155	1.0	89.3	9.7	1427367964	2	2.15	0.45	1427974174	36.82	158.75	51.35	2394.0	2049920.0	98220.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114616.0	2095100.0	2095100.0	293	18	61.53	55.16	32.45	
1432397190	0.0	90.5	9.3	1427368584	2	2.2	0.47	1427974177	38.83	151.38	37.327	2394.0	4047916.0	220236.0	59.051	36.8	0	Linux	3.13.0-48-generic	x86_64	0.0	0.2	0.0	1711616.0	297244.0	4192252.0	4072936.0	394	20	14.24	13.97	12.3	
1432397127	21.5	57.6	17.8	1427368452	2	4780.15	44495.69	1427974226	6.5899592E7	408956.72	55.822	3391.0	3612028.0	215644.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	3.1	0.0	0.0	1435804.0	361032.0	3657724.0	3657416.0	892	108	78.59	64.58	39.5	
1432397155	0.9	88.2	10.9	1427367964	2	2.15	0.45	1427974214	36.82	158.75	51.35	2394.0	2049920.0	98220.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114616.0	2095100.0	2095100.0	293	27	54.8	54.12	33.05	
1432397190	0.0	90.5	9.3	1427368584	2	2.2	0.47	1427974227	38.83	151.38	37.226	2394.0	4047916.0	189668.0	59.051	37.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.2	0.0	1736456.0	297308.0	4192252.0	4072936.0	394	18	15.09	14.25	12.53	
1432397127	18.6	59.1	19.8	1427368452	2	4820.39	43731.57	1427974267	6.4782584E7	409739.38	55.822	3391.0	3612028.0	189368.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	2.5	0.0	0.0	1440340.0	361052.0	3657724.0	3657416.0	875	39	70.71	63.94	40.2	
1432397155	0.9	88.2	10.9	1427367964	2	2.15	0.45	1427974254	36.82	158.75	51.35	2394.0	2049920.0	98220.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114616.0	2095100.0	2095100.0	293	27	57.83	55.06	34.25	
1432397190	0.0	90.2	9.8	1427368584	2	2.2	0.47	1427974267	38.83	151.38	37.226	2394.0	4047916.0	161188.0	59.051	37.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1760900.0	297372.0	4192252.0	4072936.0	394	18	15.09	14.25	12.53	
1432397127	18.5	60.1	17.3	1427368452	2	4354.55	42283.34	1427974306	6.2675424E7	372000.78	55.822	3391.0	3612028.0	206856.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	4.1	0.0	0.0	1440408.0	361056.0	3657724.0	3657416.0	875	39	61.14	62.12	40.69	
1432397155	1.0	87.6	11.4	1427367964	2	4.72	0.55	1427974294	45.75	303.02	51.35	2394.0	2049920.0	98220.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114616.0	2095100.0	2095100.0	293	69	58.4	55.59	35.31	
1432397190	0.0	90.2	9.8	1427368584	2	2.2	0.47	1427974297	38.83	151.38	37.226	2394.0	4047916.0	156032.0	59.051	37.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1778964.0	285740.0	4192252.0	4072288.0	394	22	16.14	14.67	12.82	
1432397127	20.8	59.4	17.2	1427368452	2	4326.35	40152.55	1427974346	5.9407916E7	369546.88	55.822	3391.0	3612028.0	196212.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	2.5	0.0	0.0	1444616.0	361060.0	3657724.0	3657416.0	869	33	54.57	59.96	40.74	
1432397155	0.9	89.4	9.7	1427367964	2	4.72	0.55	1427974334	45.75	303.02	51.35	2394.0	2049920.0	95100.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114704.0	2095100.0	2095100.0	293	69	58.54	55.98	36.3	
1432397190	0.0	90.2	9.8	1427368584	2	4.88	0.68	1427974337	55.35	331.6	37.226	2394.0	4047916.0	154836.0	59.051	37.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1787832.0	279828.0	4192252.0	4069952.0	394	22	13.91	14.28	12.76	
1432397127	16.1	61.0	19.7	1427368452	2	4279.82	40285.57	1427974386	5.962166E7	365636.03	55.804	3391.0	3612028.0	182680.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	3.1	0.0	0.0	1448740.0	361072.0	3657724.0	3657416.0	869	33	63.69	61.03	41.98	
1432397155	0.9	89.4	9.7	1427367964	2	4.72	0.55	1427974376	45.75	303.02	51.35	2394.0	2049920.0	94008.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114716.0	2095100.0	2095100.0	293	20	61.79	56.89	37.02	
1432397190	0.0	91.5	8.5	1427368584	2	4.88	0.68	1427974377	55.35	331.6	37.226	2394.0	4047916.0	161048.0	59.051	37.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1806564.0	256808.0	4192252.0	4067620.0	393	18	15.52	14.63	12.91	
1432397127	13.7	65.0	18.1	1427368452	2	4396.18	39869.34	1427974426	5.8932796E7	375822.06	55.804	3391.0	3612028.0	192380.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	3.2	0.0	0.0	1437356.0	354924.0	3657724.0	3657416.0	883	11	64.83	61.32	42.47	
1432397155	1.0	88.9	10.2	1427367964	2	4.72	0.55	1427974414	45.75	303.02	51.35	2394.0	2049920.0	94008.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114716.0	2095100.0	2095100.0	293	20	61.79	56.89	37.02	
1432397190	0.0	91.5	8.5	1427368584	2	4.88	0.68	1427974417	55.35	331.6	37.1	2394.0	4047916.0	151656.0	59.051	37.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1819172.0	254652.0	4192252.0	4065060.0	393	18	15.52	14.63	12.91	
1432397127	11.8	65.6	18.0	1427368452	2	4387.68	39804.63	1427974466	5.8924396E7	371600.91	55.804	3391.0	3612028.0	227988.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	4.6	0.0	0.0	1420976.0	348628.0	3657724.0	3657416.0	883	11	64.94	61.42	43.65	
1432397155	1.0	88.9	10.2	1427367964	2	4.72	0.55	1427974454	45.75	303.02	51.35	2394.0	2049920.0	91800.0	61.165	16.0	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1185920.0	114756.0	2095100.0	2095100.0	293	48	59.86	57.72	38.97	
1432397190	0.0	89.9	10.0	1427368584	2	4.88	0.68	1427974457	55.35	331.6	37.1	2394.0	4047916.0	135200.0	59.051	37.2	0	Linux	3.13.0-48-generic	x86_64	0.0	0.0	0.0	1842828.0	247504.0	4192252.0	4064520.0	393	21	16.6	15.14	13.23	
1432397127	17.4	59.7	18.7	1427368452	2	4321.4	38635.02	1427974506	5.7203832E7	364590.53	55.804	3391.0	3612028.0	217916.0	74.919	25.5	0	Linux	3.13.0-48-generic	x86	4.1	0.0	0.0	1424820.0	348640.0	3657724.0	3657416.0	874	83	64.94	61.42	43.65	
